NAME,zabs,logNHI,err_logNHI,M/H,err_M/H,logM*,lower_logM*,b,errb,v90
0439-433,0.1012,19.63,0.15,0.08,0.15,10.01,-0.01,7.6,0.0,275.0
0151+045,0.1602,19.48,0.1,-0.04,0.15,9.73,-0.03,18.5,0.0,152.0
0738+313,0.2212,20.9,0.07,-0.7,0.16,9.33,-0.04,20.3,0.0,60.0
1127-145,0.3127,21.71,0.07,-0.9,0.11,8.29,-0.14,17.48,0.0,123.0
J2131-1207,0.4298,19.5,0.15,-0.26,0.19,10.06,-0.02,48.4,2.0,246.0
0827+243,0.5247,20.3,0.04,-0.49,0.3,10.09,-0.05,38.4,0.0,188.0
1515+0410,0.5592,20.2,0.19,,,,,10.2,0.0,302.0
0218-0831,0.5899,20.84,0.12,-0.19,0.15,,,14.8,0.0,261.0
1138+0139,0.613,21.25,0.1,-0.58,0.11,,,12.4,0.0,105.0
1012+0739,0.6164,20.18,0.12,,,,,29.8,0.0,177.0
1204+0953,0.6401,21.04,0.08,,,,,10.0,0.0,163.0
2328+0022,0.65179,20.32,0.07,-0.49,0.22,10.62,-0.35,11.9,0.0,92.3
0958+0549,0.6557,20.54,0.15,-1.14,0.18,,,20.4,0.0,112.0
2335+1501,0.67972,19.7,0.3,0.07,0.34,9.83,-0.22,27.0,0.0,103.5
1122-1649,0.6819,20.45,0.05,-1.4,0.05,9.24,-0.09,25.6,0.0,144.0
1323-0021,0.71612,20.4,0.2,0.4,0.3,10.8,-0.14,9.1,0.0,141.0
1436-0051,0.7377,20.08,0.11,-0.05,0.12,10.41,-0.08,45.5,0.0,71.0
0153+0009,0.77219,19.7,0.08,-0.52,0.2,10.03,-0.08,36.6,0.0,58.4
0152-2001,0.7798,18.8,0.0,-1.2,0.0,,,54.0,0.0,33.0
1009-0026,0.8866,19.48,0.05,0.25,0.06,11.06,-0.02,39.0,0.0,94.0
0021+0043,0.942,19.38,0.15,0.42,0.15,,,86.0,0.0,139.0
0302-223,1.00945,20.36,0.11,-0.54,0.13,9.65,-0.14,25.0,0.0,61.0
0452-1640,1.0063,20.98,0.07,-0.96,0.08,9.1,-0.2,16.0,0.0,70.0
2352-0028,1.03197,19.81,0.12,0.17,0.13,9.4,-0.3,12.2,0.0,164.0
Q1313+1441,1.7941,21.3,0.1,-0.86,0.14,8.8,-0.8,11.2,1.7,164.0
2239-2949,1.82516,19.84,0.14,-0.67,0.15,9.31,-0.07,20.8,0.0,64.0
2206-1958,1.91999,20.67,0.05,-0.6,0.05,9.45,-0.3,8.4,0.3,136.0
B0551-366,1.9622,20.5,0.08,-0.27,0.14,,,15.4,,239.0
PKS0458-02,2.0396,21.65,0.09,-1.15,0.1,,,2.7,0.3,84.0
J1211+0833,2.1166,21.0,0.2,-0.07,0.21,10.7,-0.2,5.6,0.0,84.0
2225+0526,2.1325,20.69,0.05,-0.09,0.15,,,5.6,,330.0
1228-1139,2.19289,20.6,0.1,-0.22,0.1,,,29.0,0.0,163.0
1135-0010,2.2066,22.1,0.05,-1.06,0.1,,,0.8,0.0,168.0
2059-0528,2.2101,21.0,0.05,-0.96,0.06,9.9,-0.7,11.3,0.0,124.0
0338-0005,2.229,21.12,0.05,-1.23,0.15,,,4.2,1.0,221.0
0124+0044,2.26223,20.7,0.15,-0.67,0.15,,,10.9,0.0,142.0
0025+1145,2.304,21.92,0.09,-0.53,0.11,,,1.9,0.1,240.0
1143+1420,2.323,21.75,0.15,-0.72,0.15,,,0.7,0.3,130.0
2243-6015,2.3298,20.67,0.1,-0.91,0.05,10.02,-0.1,26.0,0.0,173.0
2222-0946,2.3542,20.65,0.05,-0.53,0.07,9.62,-0.14,6.3,0.3,174.0
0918+1636,2.4121,21.26,0.06,-0.6,0.0,,,2.0,0.0,344.0
1439+1117,2.41802,20.1,0.1,0.2,0.11,10.74,-0.16,39.0,0.0,338.0
2348-11,2.4263,20.53,0.06,-0.43,0.08,,,5.8,1.4,240.0
B0201+365,2.4628,20.38,0.04,-0.24,0.1,,,7.0,,200.0
0918+1636,2.5832,20.96,0.05,-0.19,0.05,10.33,-0.09,16.2,0.2,288.0
0139-0824,2.6773,20.7,0.15,-1.24,0.2,8.57,-0.34,13.0,0.0,180.0
0528-250,2.811,21.35,0.07,-0.87,0.07,8.79,-0.09,9.14,0.2,304.0
2358+0149,2.97919,21.69,0.1,-1.9,0.18,,,11.8,0.0,168.0
2233+131,3.1493,20.0,0.1,-0.97,0.13,9.85,-0.14,17.9,0.0,228.0
2358+0149,3.2477,21.12,0.1,-0.97,0.13,,,5.0,,149.0
