NAME zabs logNHI err [M/H] err logM* lower b errb v90
------------------------------------------------------------
0439-433 0.1012 19.63 0.15 0.08 0.15 10.01 -0.01 7.6 0. 275
0151+045 0.1602 19.48 0.1 -0.04 0.15 9.73 -0.03 18.5 0. 152
0738+313 0.2212 20.9 0.07 -0.70 0.16 9.33 -0.04 20.3 0. 60
1127-145 0.3127 21.71 0.07 -0.90 0.11 8.29 -0.14 17.48 0. 123
J2131-1207 0.4298 19.50 0.15 -0.26 0.19 10.06 -0.02 48.4 2.0 246
0827+243 0.5247 20.3 0.04 -0.49 0.30 10.09 -0.05 38.4 0. 188
1515+0410 0.5592 20.20 0.19 -99 -99 -99 -99 10.2 0. 302
0218-0831 0.5899 20.84 0.12 -0.19 0.15 -99 -99 14.8 0. 261
1138+0139 0.6130 21.25 0.10 -0.58 0.11 -99 -99 12.4 0. 105
1012+0739 0.6164 20.18 0.12 <-0.58 -99 -99 -99 29.8 0. 177

1204+0953 0.6401 21.04 0.08 <-0.36 -99 -99 -99 10.0 0. 163
2328+0022 0.65179 20.32 0.07 -0.49 0.22 10.62 -0.35 11.9 0. 92.3
0958+0549 0.6557 20.54 0.15 -1.14 0.18 -99 -99 20.4 0. 112
2335+1501 0.67972 19.70 0.30 0.07 0.34 9.83 -0.22 27.0 0. 103.5
1122-1649 0.6819 20.45 0.05 -1.40 0.05 9.24 -0.09 25.6 0. 144
1323-0021 0.71612 20.40 0.20 +0.40 0.30 10.80 -0.14 9.1 0. 141
1436-0051 0.7377 20.08 0.11 -0.05 0.12 10.41 -0.08 45.5 0. 71
0153+0009 0.77219 19.70 0.08 -0.52 0.20 10.03 -0.08 36.6 0. 58.4
0152-2001 0.7798 18.8 0. -1.2 0.0 -99 -99 54.0 0. 33.
1009-0026 0.8866 19.48 0.05 +0.25 0.06 11.06 -0.02 39. 0. 94
0021+0043 0.9420 19.38 0.15 0.42 0.15 -99 -99 86.0 0. 139
0302-223 1.00945 20.36 0.11 -0.54 0.13 9.65 -0.14 25. 0. 61
0452-1640 1.00630 20.98 0.07 -0.96 0.08 9.1 -0.2 16. 0. 70
2352-0028 1.03197 19.81 0.12 0.17 0.13 9.4 -0.3 12.2 0. 164
          
Q1313+1441 1.7941 21.3 0.1 -0.86 0.14 8.8 -0.8 11.2 1.7 164
2239-2949 1.82516 19.84 0.14 -0.67 0.15 9.31 -0.07 20.8 0. 64
2206-1958 1.91999 20.67 0.05 -0.60 0.05 9.45 -0.30 8.4 0.3 136
B0551-366 1.9622 20.50 0.08 -0.27 0.14 -99 -99 15.4 -99 239        
PKS0458-02 2.0396 21.65 0.09 -1.15 0.10 -99 -99 2.7 0.3 84
J1211+0833 2.1166 21.00 0.20 -0.07 0.21 10.7 -0.2 5.6 0. 84
2225+0526 2.1325 20.69 0.05 -0.09 0.15 -99 -99 5.6 -99 330
1228-1139 2.19289 20.6 0.10 -0.22 0.10 -99 -99 29.0 0. 163
1135-0010 2.2066 22.1 0.05 -1.06 0.1 -99 -99 0.8 0. 168
2059-0528 2.2101 21.00 0.05 -0.96 0.06 9.9 -0.7 11.3 0. 124
0338-0005 2.229 21.12 0.05 -1.23 0.15 -99 -99 4.2 1.0 221
0124+0044 2.26223 20.70 0.15 -0.67 0.15 -99 -99 10.9 0. 142
0025+1145 2.304 21.92 0.09 -0.53 0.11 -99 -99 1.9 0.1 240
1143+1420 2.323 21.75 0.15 -0.72 0.15 -99 -99 0.7 0.3 130
2243-6015 2.3298 20.67 0.1 -0.91 0.05 10.02 -0.10 26.0 0 173
2222-0946 2.3542 20.65 0.05 -0.53 0.07 9.62 -0.14 6.3 0.3 174
          
0918+1636 2.4121 21.26 0.06 -0.6 0. -99 -99 2.0 0. 344
1439+1117 2.41802 20.10 0.10 0.20 0.11 10.74 -0.16 39. 0. 338
2348-11 2.4263 20.53 0.06 -0.43 0.08 -99 -99 5.8 1.4 240
B0201+365 2.4628 20.38 0.04 −0.24 0.1 -99 -99 7 -99 200
0918+1636 2.5832 20.96 0.05 -0.19 0.05 10.33 -0.09 16.2 0.2 288
0139-0824 2.6773 20.70 0.15 -1.24 0.20 8.57 -0.34 13.0 0. 180
0528-250 2.8110 21.35 0.07 -0.87 0.07 8.79 -0.09 9.14 0.2 304
2358+0149 2.97919 21.69 0.10 -1.90 0.18 -99 -99 11.8 0. 168
2233+131 3.14930 20.00 0.10 -0.97 0.13 9.85 -0.14 17.9 0.0 228
2358+0149 3.2477 21.12 0.10 -0.97 0.13 -99 -99 5 -99 149
          
          
